observation_date,FPCPITOTLZGFRA
1960-01-01,4.1399357551843696
1961-01-01,2.4004610454632100
1962-01-01,5.3312800706563905
1963-01-01,4.9991528979684094
1964-01-01,3.2111917029310502
1965-01-01,2.7031045587308400
1966-01-01,2.6020007663644402
1967-01-01,2.7917770943515001
1968-01-01,4.5432048640201401
1969-01-01,6.0459628417389295
1970-01-01,5.2996412456267503
1971-01-01,5.3975186559510497
1972-01-01,6.0630030971818707
1973-01-01,7.3806010639891202
1974-01-01,13.6493174728139000
1975-01-01,11.6859272493228001
1976-01-01,9.6254957815552888
1977-01-01,9.4945546719043392
1978-01-01,9.2505584672443000
1979-01-01,10.6467341716664006
1980-01-01,13.5625788483015999
1981-01-01,13.3144055680070998
1982-01-01,11.9784719523806000
1983-01-01,9.4595484723531804
1984-01-01,7.6738026224732092
1985-01-01,5.8310997385451602
1986-01-01,2.5385259178141699
1987-01-01,3.2888982140013301
1988-01-01,2.7008152750811298
1989-01-01,3.4983022070074901
1990-01-01,3.1942833802947499
1991-01-01,3.2134073240968699
1992-01-01,2.3637604626935298
1993-01-01,2.1044627712464399
1994-01-01,1.6555153292699301
1995-01-01,1.7964814209559501
1996-01-01,1.9828836508973799
1997-01-01,1.2039429402696200
1998-01-01,0.6511268678330490
1999-01-01,0.5371416391346450
2000-01-01,1.6759598872092700
2001-01-01,1.6347807954960101
2002-01-01,1.9234122872706001
2003-01-01,2.0984721914692299
2004-01-01,2.1420896464024102
2005-01-01,1.7458693638048199
2006-01-01,1.6751244960872300
2007-01-01,1.4879980595386000
2008-01-01,2.8128619491478699
2009-01-01,0.0876204781574552
2010-01-01,1.5311227042092601
2011-01-01,2.1115979517499399
2012-01-01,1.9541953161351000
2013-01-01,0.8637154978618050
2014-01-01,0.5077588229379900
2015-01-01,0.0375143805125182
2016-01-01,0.1833348611238600
2017-01-01,1.0322827506466199
2018-01-01,1.8508150831550201
2019-01-01,1.1082549228829399
2020-01-01,0.4764988527250660
2021-01-01,1.6423314103838500
2022-01-01,5.2223674836973508
2023-01-01,4.8783572650844098
